,CHROM,enh_start,enh_end,Transcript,Gene,Gene_ID,genomic element,H3K27ac-expression correlation p-values,relation
867,chr9,136340771,136343670,ENST00000616132,GPSM1,ENSG00000160360,intronic enhancer,0.06,containing
898,chr1,145871447,145873136,ENST00000355594,ANKRD35,ENSG00000198483,intronic enhancer,0.0,containing
899,chr1,145871447,145873136,ENST00000544626,ANKRD35,ENSG00000198483,intronic enhancer,0.0,containing
915,chrX,150502949,150506550,ENST00000370401,MAMLD1,ENSG00000013619,intronic enhancer,0.141,containing
916,chrX,150502949,150506550,ENST00000426613,MAMLD1,ENSG00000013619,intronic enhancer,0.141,containing;closest
920,chr22,23096991,23100655,ENST00000216036,RSPH14,ENSG00000100218,intronic enhancer,0.113,containing
932,chr8,144272427,144276212,ENST00000569403,BOP1,ENSG00000261236,intronic enhancer,0.006,containing
933,chr8,144272427,144276212,ENST00000569669,BOP1,ENSG00000261236,intronic enhancer,0.001,containing
934,chr8,144272427,144276212,ENST00000567180,SCX,ENSG00000260428,intronic enhancer,0.007,closest
980,chr19,44741284,44743111,ENST00000164227,BCL3,ENSG00000069399,intergenic enhancer,0.007,closest
1002,chr22,17535664,17537544,ENST00000327451,SLC25A18,ENSG00000182902,intronic enhancer,0.076,closest
1033,chr8,2145071,2145953,ENST00000262113,MYOM2,ENSG00000036448,intronic enhancer,0.034,containing
1034,chr8,2145071,2145953,ENST00000523438,MYOM2,ENSG00000036448,intronic enhancer,0.039,containing;closest
1040,chr1,206574841,206576827,ENST00000577571,RASSF5,ENSG00000266094,intronic enhancer,0.043,containing
1041,chr1,206574841,206576827,ENST00000579436,RASSF5,ENSG00000266094,intronic enhancer,0.04,containing
1042,chr1,206574841,206576827,ENST00000580449,RASSF5,ENSG00000266094,intronic enhancer,0.04,containing
1043,chr1,206574841,206576827,ENST00000581503,RASSF5,ENSG00000266094,intronic enhancer,0.043,containing
1044,chr1,206574841,206576827,ENST00000581888,RASSF5,ENSG00000266094,intronic enhancer,0.043,closest
1065,chr7,72789901,72791359,ENST00000610600,TYW1B,ENSG00000277149,intronic enhancer,0.043,containing
1066,chr7,72789901,72791359,ENST00000612372,TYW1B,ENSG00000277149,intronic enhancer,0.005,containing;closest
1067,chr7,72789901,72791359,ENST00000620995,TYW1B,ENSG00000277149,intronic enhancer,0.001,containing
1077,chr1,147699283,147701307,ENST00000583509,ACP6,ENSG00000162836,intergenic enhancer,0.033,closest
1103,chr22,24103269,24108841,ENST00000263119,CABIN1,ENSG00000099991,intronic enhancer,0.016,containing
1104,chr22,24103269,24108841,ENST00000337989,CABIN1,ENSG00000099991,intronic enhancer,0.003,closest
1105,chr22,24103269,24108841,ENST00000398319,CABIN1,ENSG00000099991,intronic enhancer,0.019,containing
1106,chr22,24103269,24108841,ENST00000405822,CABIN1,ENSG00000099991,intronic enhancer,0.014,containing
1107,chr22,24103269,24108841,ENST00000617531,CABIN1,ENSG00000099991,intronic enhancer,0.014,containing
1142,chr22,24139614,24142434,ENST00000263119,CABIN1,ENSG00000099991,intronic enhancer,0.003,containing
1143,chr22,24139614,24142434,ENST00000337989,CABIN1,ENSG00000099991,intronic enhancer,0.001,closest
1144,chr22,24139614,24142434,ENST00000398319,CABIN1,ENSG00000099991,intronic enhancer,0.004,containing
1145,chr22,24139614,24142434,ENST00000405822,CABIN1,ENSG00000099991,intronic enhancer,0.003,containing
1146,chr22,24139614,24142434,ENST00000617531,CABIN1,ENSG00000099991,intronic enhancer,0.003,containing
1147,chr17,38324087,38326431,ENST00000616987,GPR179,ENSG00000277399,intronic enhancer,0.146,containing;closest
1148,chr17,38324087,38326431,ENST00000621958,GPR179,ENSG00000277399,intronic enhancer,0.124,containing;closest
1153,chrX,49111126,49113597,ENST00000156109,GPKOW,ENSG00000068394,intronic enhancer,0.002,containing
1157,chr7,430858,432863,ENST00000400761,PDGFA,ENSG00000197461,intergenic enhancer,0.005,closest
1286,chr1,27518606,27524489,ENST00000247087,AHDC1,ENSG00000126705,intergenic enhancer,0.012,contacting
1287,chr1,27518606,27524489,ENST00000374011,AHDC1,ENSG00000126705,intergenic enhancer,0.011,contacting
1316,chr1,109534852,109537309,ENST00000369799,AHCYL1,ENSG00000168710,intergenic enhancer,0.131,contacting
1317,chr1,109534852,109537309,ENST00000393614,AHCYL1,ENSG00000168710,intergenic enhancer,0.131,contacting
1469,chr1,147504226,147505947,ENST00000609196,ACP6,ENSG00000162836,intergenic enhancer,0.001,contacting
1470,chr1,147504226,147505947,ENST00000583509,ACP6,ENSG00000162836,intergenic enhancer,0.003,contacting
1484,chr1,148916668,148917352,ENST00000524974,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,contacting
1486,chr1,148916668,148917352,ENST00000585156,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,contacting
1487,chr1,148916668,148917352,ENST00000618462,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,contacting
1634,chr1,150181427,150183911,ENST00000535106,VPS45,ENSG00000136631,intergenic enhancer,0.129,contacting
2236,chr1,200624007,200626283,ENST00000449188,ASCL5,ENSG00000232237,intronic enhancer,0.056,contacting
2237,chr1,200624007,200626283,ENST00000458416,ASCL5,ENSG00000232237,intronic enhancer,0.107,contacting
2375,chr1,206574841,206576827,ENST00000578328,IKBKE,ENSG00000263528,intronic enhancer,0.123,contacting
2376,chr1,206574841,206576827,ENST00000584998,IKBKE,ENSG00000263528,intronic enhancer,0.15,contacting
2398,chr2,3649878,3652942,ENST00000399157,MYT1L,ENSG00000186487,intergenic enhancer,0.085,contacting
2409,chr2,96875261,96876793,ENST00000490605,FAM178B,ENSG00000168754,intronic enhancer,0.104,contacting
2426,chr2,196111905,196115301,ENST00000454447,RFTN2,ENSG00000162944,intergenic enhancer,0.01,contacting
2427,chr2,196111905,196115301,ENST00000295049,RFTN2,ENSG00000162944,intergenic enhancer,0.03,contacting
2439,chr2,238643340,238645722,ENST00000448880,NDUFA10,ENSG00000130414,intergenic enhancer,0.134,contacting
2448,chr3,69116262,69117147,ENST00000451708,MITF,ENSG00000187098,intronic enhancer,0.147,contacting
2531,chr4,87077386,87079930,ENST00000473559,C4orf36,ENSG00000163633,intronic enhancer,0.058,contacting
2533,chr4,87077386,87079930,ENST00000507468,AFF1,ENSG00000172493,intronic enhancer,0.134,contacting
2535,chr4,87077386,87079930,ENST00000511442,AFF1,ENSG00000172493,intronic enhancer,0.061,contacting
2566,chr4,173408824,173412079,ENST00000506823,GALNTL6,ENSG00000174473,intergenic enhancer,0.136,contacting
2570,chr4,175770156,175773332,ENST00000393658,GPM6A,ENSG00000150625,intronic enhancer,0.085,contacting
2576,chr4,175770156,175773332,ENST00000507520,GPM6A,ENSG00000150625,intronic enhancer,0.131,contacting
2577,chr4,175770156,175773332,ENST00000513667,GPM6A,ENSG00000150625,intronic enhancer,0.137,contacting
2580,chr4,175770156,175773332,ENST00000505375,GPM6A,ENSG00000150625,intronic enhancer,0.07,contacting
2581,chr4,175770156,175773332,ENST00000513365,GPM6A,ENSG00000150625,intronic enhancer,0.07,contacting
2583,chr4,175770156,175773332,ENST00000507540,GPM6A,ENSG00000150625,intronic enhancer,0.093,contacting
2584,chr4,175770156,175773332,ENST00000503563,GPM6A,ENSG00000150625,intronic enhancer,0.024,contacting
2841,chr4,183876195,183877046,ENST00000296741,ENPP6,ENSG00000164303,intergenic enhancer,0.015,contacting
2842,chr4,183876195,183877046,ENST00000512353,ENPP6,ENSG00000164303,intergenic enhancer,0.05,contacting
2873,chr5,173669073,173672683,ENST00000334035,CPEB4,ENSG00000113742,intergenic enhancer,0.141,contacting
2885,chr6,3354632,3357622,ENST00000380277,PXDC1,ENSG00000168994,intronic enhancer,0.097,contacting
2951,chr7,430858,432863,ENST00000402802,PDGFA,ENSG00000197461,intergenic enhancer,0.001,contacting
2952,chr7,430858,432863,ENST00000354513,PDGFA,ENSG00000197461,intergenic enhancer,0.012,contacting
2953,chr7,430858,432863,ENST00000400761,PDGFA,ENSG00000197461,intergenic enhancer,0.005,contacting
2963,chr7,25848856,25850726,ENST00000360046,HOXA4,ENSG00000197576,intergenic enhancer,0.022,contacting
2964,chr7,25848856,25850726,ENST00000610970,HOXA4,ENSG00000197576,intergenic enhancer,0.032,contacting
2965,chr7,25848856,25850726,ENST00000428284,HOXA4,ENSG00000197576,intergenic enhancer,0.02,contacting
2966,chr7,25848856,25850726,ENST00000511914,HOXA4,ENSG00000197576,intergenic enhancer,0.046,contacting
2967,chr7,25848856,25850726,ENST00000612286,HOXA3,ENSG00000105997,intergenic enhancer,0.136,contacting
2970,chr7,25848856,25850726,ENST00000345317,SKAP2,ENSG00000005020,intergenic enhancer,0.059,contacting
2971,chr7,25848856,25850726,ENST00000432747,SKAP2,ENSG00000005020,intergenic enhancer,0.116,contacting
2973,chr7,25848856,25850726,ENST00000355633,HOXA1,ENSG00000105991,intergenic enhancer,0.136,contacting
2974,chr7,25848856,25850726,ENST00000222718,HOXA2,ENSG00000105996,intergenic enhancer,0.098,contacting
2980,chr7,25848856,25850726,ENST00000519842,HOXA7,ENSG00000122592,intergenic enhancer,0.016,contacting
2989,chr7,44176308,44179640,ENST00000355451,NUDCD3,ENSG00000015676,intronic enhancer,0.141,contacting
3244,chr7,75054189,75056747,ENST00000453773,POR,ENSG00000127948,intronic enhancer,0.075,contacting
3245,chr7,75054189,75056747,ENST00000439963,POR,ENSG00000127948,intronic enhancer,0.014,contacting
3246,chr7,75054189,75056747,ENST00000461988,POR,ENSG00000127948,intronic enhancer,0.064,contacting
3247,chr7,75054189,75056747,ENST00000394893,POR,ENSG00000127948,intronic enhancer,0.064,contacting
3248,chr7,75054189,75056747,ENST00000412521,POR,ENSG00000127948,intronic enhancer,0.075,contacting
3249,chr7,75054189,75056747,ENST00000414186,POR,ENSG00000127948,intronic enhancer,0.022,contacting
3250,chr7,75054189,75056747,ENST00000432753,POR,ENSG00000127948,intronic enhancer,0.022,contacting
3251,chr7,75054189,75056747,ENST00000447222,POR,ENSG00000127948,intronic enhancer,0.08,contacting
3252,chr7,75054189,75056747,ENST00000426184,POR,ENSG00000127948,intronic enhancer,0.036,contacting
3253,chr7,75054189,75056747,ENST00000439297,POR,ENSG00000127948,intronic enhancer,0.07,contacting
4734,chr7,98037579,98039818,ENST00000297293,LMTK2,ENSG00000164715,intergenic enhancer,0.132,contacting
4742,chr7,151198808,151200389,ENST00000287844,ABCF2,ENSG00000033050,intronic enhancer,0.08,contacting
4743,chr7,151198808,151200389,ENST00000468073,ABCF2,ENSG00000033050,intronic enhancer,0.131,contacting
4744,chr7,151198808,151200389,ENST00000441774,ABCF2,ENSG00000033050,intronic enhancer,0.126,contacting
4750,chr8,2019695,2022851,ENST00000308811,ZNF596,ENSG00000172748,intergenic enhancer,0.089,contacting
4751,chr8,2019695,2022851,ENST00000320552,ZNF596,ENSG00000172748,intergenic enhancer,0.093,contacting
4752,chr8,2019695,2022851,ENST00000398612,ZNF596,ENSG00000172748,intergenic enhancer,0.107,contacting
4754,chr8,2019695,2022851,ENST00000349830,ARHGEF10,ENSG00000104728,intergenic enhancer,0.087,contacting
4755,chr8,2019695,2022851,ENST00000520359,ARHGEF10,ENSG00000104728,intergenic enhancer,0.087,contacting
4756,chr8,2019695,2022851,ENST00000518288,ARHGEF10,ENSG00000104728,intergenic enhancer,0.087,contacting
4757,chr8,2019695,2022851,ENST00000398564,ARHGEF10,ENSG00000104728,intergenic enhancer,0.087,contacting
4758,chr8,2019695,2022851,ENST00000522435,ARHGEF10,ENSG00000104728,intergenic enhancer,0.067,contacting
4815,chr8,144272427,144276212,ENST00000436759,PLEC,ENSG00000178209,intronic enhancer,0.125,contacting
4820,chr8,144272427,144276212,ENST00000395068,GRINA,ENSG00000178719,intronic enhancer,0.097,contacting
4822,chr8,144272427,144276212,ENST00000534791,GRINA,ENSG00000178719,intronic enhancer,0.102,contacting
4823,chr8,144272427,144276212,ENST00000533044,GRINA,ENSG00000178719,intronic enhancer,0.099,contacting
4824,chr8,144272427,144276212,ENST00000527194,GRINA,ENSG00000178719,intronic enhancer,0.074,contacting
4825,chr8,144272427,144276212,ENST00000313269,GRINA,ENSG00000178719,intronic enhancer,0.097,contacting
4837,chr8,144272427,144276212,ENST00000455319,FBXL6,ENSG00000182325,intronic enhancer,0.01,contacting
4838,chr8,144272427,144276212,ENST00000331890,FBXL6,ENSG00000182325,intronic enhancer,0.007,contacting
4844,chr8,144272427,144276212,ENST00000530790,VPS28,ENSG00000160948,intronic enhancer,0.021,contacting
4845,chr8,144272427,144276212,ENST00000529182,VPS28,ENSG00000160948,intronic enhancer,0.072,contacting
4846,chr8,144272427,144276212,ENST00000526054,VPS28,ENSG00000160948,intronic enhancer,0.068,contacting
4847,chr8,144272427,144276212,ENST00000533806,VPS28,ENSG00000160948,intronic enhancer,0.063,contacting
4848,chr8,144272427,144276212,ENST00000531032,VPS28,ENSG00000160948,intronic enhancer,0.03,contacting
4849,chr8,144272427,144276212,ENST00000377348,VPS28,ENSG00000160948,intronic enhancer,0.062,contacting
4850,chr8,144272427,144276212,ENST00000292510,VPS28,ENSG00000160948,intronic enhancer,0.068,contacting
4852,chr8,144272427,144276212,ENST00000531720,ZNF517,ENSG00000197363,intronic enhancer,0.116,contacting
4854,chr8,144272427,144276212,ENST00000529429,ZNF517,ENSG00000197363,intronic enhancer,0.114,contacting
4856,chr8,144272427,144276212,ENST00000359971,ZNF517,ENSG00000197363,intronic enhancer,0.044,contacting
4860,chr8,144272427,144276212,ENST00000316052,EXOSC4,ENSG00000178896,intronic enhancer,0.004,contacting
4861,chr8,144272427,144276212,ENST00000525936,EXOSC4,ENSG00000178896,intronic enhancer,0.003,contacting
4862,chr8,144272427,144276212,ENST00000527954,EXOSC4,ENSG00000178896,intronic enhancer,0.019,contacting
4863,chr8,144272427,144276212,ENST00000355091,GPAA1,ENSG00000197858,intronic enhancer,0.006,contacting
4864,chr8,144272427,144276212,ENST00000525087,GPAA1,ENSG00000197858,intronic enhancer,0.044,contacting
4865,chr8,144272427,144276212,ENST00000361036,GPAA1,ENSG00000197858,intronic enhancer,0.007,contacting
4866,chr8,144272427,144276212,ENST00000524418,GPAA1,ENSG00000197858,intronic enhancer,0.039,contacting
4867,chr8,144272427,144276212,ENST00000530258,GPAA1,ENSG00000197858,intronic enhancer,0.023,contacting
4871,chr8,144272427,144276212,ENST00000528718,DGAT1,ENSG00000185000,intronic enhancer,0.004,contacting
4872,chr8,144272427,144276212,ENST00000332324,DGAT1,ENSG00000185000,intronic enhancer,0.004,contacting
7082,chr9,129962373,129965798,ENST00000355681,FNBP1,ENSG00000187239,intronic enhancer,0.028,contacting
7275,chr9,136052181,136054381,ENST00000277554,NACC2,ENSG00000148411,intronic enhancer,0.072,contacting
7753,chr10,132987648,132989218,ENST00000607359,ADGRA1,ENSG00000197177,intergenic enhancer,0.002,contacting
7754,chr10,132987648,132989218,ENST00000392607,ADGRA1,ENSG00000197177,intergenic enhancer,0.004,contacting
7755,chr10,132987648,132989218,ENST00000392606,ADGRA1,ENSG00000197177,intergenic enhancer,0.01,contacting
7798,chr11,61687623,61689731,ENST00000257215,DAGLA,ENSG00000134780,intronic enhancer,0.128,contacting
7799,chr11,63581548,63584703,ENST00000415229,ASRGL1,ENSG00000162174,intronic enhancer,0.036,contacting
7800,chr11,63581548,63584703,ENST00000301776,ASRGL1,ENSG00000162174,intronic enhancer,0.036,contacting
7801,chr11,63581548,63584703,ENST00000628829,ASRGL1,ENSG00000162174,intronic enhancer,0.029,contacting
7809,chr12,4291752,4295001,ENST00000407263,TSPAN9,ENSG00000011105,intronic enhancer,0.102,contacting
7831,chr12,124926721,124928863,ENST00000541244,PITPNM2,ENSG00000090975,intergenic enhancer,0.056,contacting
7832,chr12,124926721,124928863,ENST00000280562,PITPNM2,ENSG00000090975,intergenic enhancer,0.034,contacting
7833,chr12,124926721,124928863,ENST00000320201,PITPNM2,ENSG00000090975,intergenic enhancer,0.025,contacting
7834,chr12,124926721,124928863,ENST00000546049,PITPNM2,ENSG00000090975,intergenic enhancer,0.055,contacting
7835,chr12,124926721,124928863,ENST00000542210,PITPNM2,ENSG00000090975,intergenic enhancer,0.036,contacting
7836,chr12,125015290,125016515,ENST00000341446,BRI3BP,ENSG00000184992,intronic enhancer,0.085,contacting
8037,chr17,28759103,28762280,ENST00000583953,FAM222B,ENSG00000173065,intronic enhancer,0.096,contacting
8038,chr17,28759103,28762280,ENST00000577513,FAM222B,ENSG00000173065,intronic enhancer,0.123,contacting
8040,chr17,28759103,28762280,ENST00000378895,DHRS13,ENSG00000167536,intronic enhancer,0.018,contacting
8041,chr17,28759103,28762280,ENST00000394901,DHRS13,ENSG00000167536,intronic enhancer,0.018,contacting
8044,chr17,28759103,28762280,ENST00000268756,PHF12,ENSG00000109118,intronic enhancer,0.11,contacting
8045,chr17,28759103,28762280,ENST00000578900,PHF12,ENSG00000109118,intronic enhancer,0.103,contacting
8046,chr17,28759103,28762280,ENST00000584685,PHF12,ENSG00000109118,intronic enhancer,0.081,contacting
8047,chr17,28759103,28762280,ENST00000582853,PHF12,ENSG00000109118,intronic enhancer,0.1,contacting
8393,chr19,2379854,2382799,ENST00000590646,BTBD2,ENSG00000133243,intergenic enhancer,0.035,contacting
8394,chr19,2379854,2382799,ENST00000587742,BTBD2,ENSG00000133243,intergenic enhancer,0.009,contacting
8395,chr19,2379854,2382799,ENST00000588395,BTBD2,ENSG00000133243,intergenic enhancer,0.014,contacting
8475,chr22,17471473,17473951,ENST00000155674,CECR5,ENSG00000069998,intronic enhancer,0.072,contacting
8476,chr22,17471473,17473951,ENST00000336737,CECR5,ENSG00000069998,intronic enhancer,0.079,contacting
8477,chr22,17471473,17473951,ENST00000399852,CECR5,ENSG00000069998,intronic enhancer,0.052,contacting
8518,chr22,22297114,22298890,ENST00000407464,HIC2,ENSG00000169635,intergenic enhancer,0.147,contacting
8519,chr22,22297114,22298890,ENST00000407598,HIC2,ENSG00000169635,intergenic enhancer,0.106,contacting
8520,chr22,22297114,22298890,ENST00000443632,HIC2,ENSG00000169635,intergenic enhancer,0.121,contacting
8685,chrX,10082601,10084220,ENST00000380861,WWC3,ENSG00000047644,intronic enhancer,0.062,contacting
8775,chrX,120262124,120264024,ENST00000434600,LAMP2,ENSG00000005893,intronic enhancer,0.119,contacting
8776,chrX,120262124,120264024,ENST00000200639,LAMP2,ENSG00000005893,intronic enhancer,0.076,contacting
8777,chrX,120262124,120264024,ENST00000371335,LAMP2,ENSG00000005893,intronic enhancer,0.037,contacting
